fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C1,,,,,51.621244,-115.608378,1984.0,,,,,121.0,15.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1943.0,,,,,121.0,16.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1869.0,,,,,110.0,0.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1906.0,,,,,106.0,339.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1963.0,,,,,97.0,327.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2040.0,,,,,79.0,324.0,,,0.75,,20,,1
O1a,,,,,51.621244,-115.608378,2094.0,,,,,47.0,356.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,2055.0,,,,,39.0,41.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2007.0,,,,,50.0,70.0,,,0.8,,20,,2
C5,,,,,51.621244,-115.608378,1937.0,,,,,99.0,78.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1795.0,,,,,100.0,63.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1741.0,,,,,84.0,43.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1335.0,,,,,24.0,2.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1333.0,,,,,25.0,2.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1332.0,,,,,29.0,346.0,,,1.2,,20,,5
C1,,,,,51.621244,-115.608378,1348.0,,,,,34.0,337.0,,,0.75,,20,,1
C5,,,,,51.621244,-115.608378,1361.0,,,,,33.0,345.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1366.0,,,,,32.0,348.0,,,1.2,,20,,5
C1,,,,,51.621244,-115.608378,1373.0,,,,,33.0,357.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1369.0,,,,,39.0,8.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1371.0,,,,,48.0,5.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1368.0,,,,,52.0,359.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1369.0,,,,,53.0,356.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1376.0,,,,,55.0,356.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1380.0,,,,,58.0,356.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1385.0,,,,,61.0,10.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1336.0,,,,,66.0,16.0,,,0.75,,20,,1
C5,,,,,51.621244,-115.608378,1330.0,,,,,71.0,13.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1303.0,,,,,90.0,30.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1225.0,,,,,94.0,28.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1198.0,,,,,70.0,7.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1195.0,,,,,40.0,336.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1263.0,,,,,38.0,268.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1298.0,,,,,49.0,238.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1336.0,,,,,50.0,230.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,1374.0,,,,,59.0,240.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1444.0,,,,,53.0,238.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1473.0,,,,,43.0,235.0,,,0.8,,20,,2
C5,,,,,51.621244,-115.608378,1518.0,,,,,53.0,254.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1568.0,,,,,59.0,264.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1635.0,,,,,50.0,253.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,1665.0,,,,,42.0,232.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1700.0,,,,,44.0,228.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1733.0,,,,,40.0,220.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1751.0,,,,,34.0,209.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1768.0,,,,,32.0,202.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1771.0,,,,,30.0,199.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1787.0,,,,,31.0,214.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1818.0,,,,,31.0,217.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1835.0,,,,,36.0,225.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1876.0,,,,,37.0,227.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1894.0,,,,,27.0,218.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1905.0,,,,,23.0,243.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1923.0,,,,,45.0,273.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1996.0,,,,,43.0,280.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2017.0,,,,,19.0,298.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,2029.0,,,,,35.0,297.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2076.0,,,,,49.0,301.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2116.0,,,,,50.0,305.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2168.0,,,,,51.0,295.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2210.0,,,,,29.0,287.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2217.0,,,,,3.0,233.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2212.0,,,,,7.0,78.0,,,0.75,,20,,1
NF,,,,,51.621244,-115.608378,2207.0,,,,,25.0,39.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2171.0,,,,,39.0,39.0,,,,,20,,101
