fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C2,,,,,51.621244,-115.608378,1550.0,,,,,5.0,155.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1546.0,,,,,3.0,195.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1546.0,,,,,4.0,270.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1553.0,,,,,9.0,281.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1571.0,,,,,11.0,277.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1580.0,,,,,8.0,274.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1586.0,,,,,12.0,284.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1596.0,,,,,22.0,286.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1630.0,,,,,25.0,285.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1652.0,,,,,22.0,286.0,,,0.8,,20,,2
NF,,,,,51.621244,-115.608378,1676.0,,,,,36.0,279.0,,,,,20,,101
C2,,,,,51.621244,-115.608378,1726.0,,,,,35.0,277.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1745.0,,,,,21.0,280.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1764.0,,,,,28.0,289.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1788.0,,,,,48.0,292.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1856.0,,,,,44.0,293.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1885.0,,,,,27.0,298.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1905.0,,,,,30.0,294.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1942.0,,,,,19.0,309.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1934.0,,,,,10.0,28.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1933.0,,,,,15.0,79.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1924.0,,,,,35.0,88.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1874.0,,,,,31.0,79.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1859.0,,,,,17.0,74.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1837.0,,,,,33.0,95.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1777.0,,,,,42.0,100.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1742.0,,,,,33.0,106.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1712.0,,,,,37.0,115.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1683.0,,,,,54.0,115.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1614.0,,,,,54.0,112.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1571.0,,,,,38.0,109.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1540.0,,,,,46.0,94.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1472.0,,,,,32.0,70.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1475.0,,,,,31.0,346.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1500.0,,,,,56.0,332.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1533.0,,,,,69.0,327.0,,,0.8,,20,,2
